observation_id,machine_id,motor_load_pct,power_kw,vibration_rms_mm_s,bearing_temp_c,acoustic_rms_db,micro_stop_rate_per_h,throughput_units_h,load_variability_pct
OBS-000399,MC-002,66.4121,135.0174,2.2145,75.9671,8.4464,0.0526,79.7222,1.8406
OBS-000590,MC-058,39.113,124.3533,5.3671,75.6604,15.2656,0.2695,77.9116,3.0385
OBS-000159,MC-005,52.2593,149.7354,5.4602,85.131,17.8969,0.249,101.4252,3.7545
OBS-007567,MC-134,83.903,187.4773,2.3421,92.2922,11.0138,0.0999,94.6648,2.0689
OBS-010893,MC-166,50.2899,108.7109,1.8802,65.5739,7.4715,0.066,74.1431,0.7101
OBS-002487,MC-094,93.4184,200.6238,3.0257,90.5662,12.6846,0.1777,110.6184,2.4822
OBS-003368,MC-018,93.7759,193.0046,3.3887,89.5082,11.8672,0.0939,118.0717,1.8506
OBS-005548,MC-210,58.8399,112.2236,2.0627,69.8221,7.2829,0.053,84.3986,0.4264
OBS-010367,MC-223,67.7905,113.9837,2.2665,73.1848,8.4432,0.081,93.0476,0.787
OBS-003412,MC-124,59.1684,120.6991,1.6839,71.4274,8.7518,0.1116,81.5542,1.214
OBS-006857,MC-009,68.37,133.9361,1.651,73.0938,8.5954,0.0811,87.293,1.3894
OBS-003533,MC-181,86.9499,180.3152,2.8861,93.1348,11.7425,0.0787,109.7347,1.5181
OBS-009991,MC-068,89.4068,206.7959,3.1798,93.2849,11.8579,0.2095,107.681,1.2391
OBS-008385,MC-198,61.66,166.9758,5.3243,79.8852,17.4381,0.2001,100.0899,3.798
OBS-010925,MC-157,55.7989,106.1028,1.5328,67.2651,7.5922,0.0746,73.3442,0.1035
OBS-005050,MC-083,60.0537,119.4219,1.6717,74.4171,8.4223,0.1133,89.8569,0.2919
OBS-005713,MC-135,82.8181,165.4646,2.4893,87.4484,11.3924,0.1485,90.6333,3.0786
OBS-005273,MC-027,94.6847,220.2693,3.0756,92.1015,11.2614,0.1328,109.0914,2.3869
OBS-009194,MC-061,53.0911,142.791,5.9807,79.3862,15.4004,0.2406,98.3142,3.3048
OBS-009896,MC-047,88.3295,198.6468,2.949,90.3292,11.8015,0.1061,111.2288,1.7437
OBS-005568,MC-075,72.829,134.3227,2.2717,72.6383,9.5997,0.1123,99.3534,0.7795
OBS-011141,MC-230,60.3876,105.6292,1.6255,67.0322,7.0895,0.0578,78.7727,0.6387
OBS-010216,MC-024,62.449,114.103,2.2351,68.1368,9.1276,0.1049,83.6788,1.2145
OBS-004055,MC-225,58.998,120.6462,2.152,72.209,8.3145,0.0676,90.9734,0.4807
OBS-004288,MC-051,51.1591,138.0323,6.506,79.2986,14.1539,0.2317,89.0446,3.2381
OBS-009118,MC-090,94.6652,196.3233,3.5879,93.8708,11.4653,0.1234,120.0434,2.8676
OBS-006703,MC-003,86.4327,194.7947,2.8473,89.8545,11.1625,0.1224,113.4158,3.1967
OBS-005033,MC-015,89.0739,197.2084,2.7456,94.4359,10.8673,0.1134,106.0346,2.4811
OBS-003949,MC-186,54.6036,92.3433,1.1588,63.8502,7.4476,0.0277,63.9964,0.7882
OBS-001207,MC-024,40.3558,133.1557,5.6079,79.5049,13.3076,0.2185,81.6987,4.5721
OBS-003828,MC-088,55.62,102.1867,1.6592,67.7931,7.204,0.0749,79.0901,0.7746
OBS-009477,MC-109,80.9114,183.0467,2.3004,92.4596,10.0536,0.1349,87.0923,2.0452
OBS-001828,MC-018,58.0266,112.6084,0.9227,67.7415,7.1456,0.0946,76.6163,0.7332
OBS-006556,MC-196,49.4561,143.3248,5.8265,77.6192,15.8046,0.2542,94.9273,4.5413
OBS-009399,MC-087,62.1375,110.4623,1.2932,69.0776,6.8341,0.1061,84.6928,0.1
OBS-005590,MC-177,72.8003,139.3258,2.0822,76.7347,8.9762,0.102,102.9565,0.3778
OBS-002492,MC-104,61.5373,112.4533,1.439,70.4464,8.6106,0.0831,71.0919,0.1
OBS-000300,MC-055,64.9822,120.2116,0.8304,71.8086,9.1406,0.0462,80.9015,0.7498
OBS-006118,MC-003,62.0967,129.4882,1.8132,75.7884,8.9678,0.0681,85.6297,1.8258
