customer_id,snapshot_month,region,acquisition_channel,customer_segment,plan_type,age,tenure_months,household_income,credit_score,monthly_fee,avg_monthly_usage_gb,app_sessions_30d,support_tickets_90d,late_payments_12m,discount_pct,data_overage_charges,competitor_price_index,nps_score
CHURN-SCORE-00001,2026-07,central,referral,family,standard,53,18,66850.17,591,58.54,134.25,40,2,1,4.84,8.34,1.064,-6
CHURN-SCORE-00002,2026-08,north,paid_search,senior,premium,59,4,50369.2,705,65.18,65.99,40,1,1,11.54,1.15,0.962,22
CHURN-SCORE-00003,2026-09,west,paid_search,senior,premium,57,20,55247.14,656,74.95,121.17,36,0,2,5.01,0,0.946,34
CHURN-SCORE-00004,2026-07,north,retail,young_professional,standard,27,12,86022.55,639,47.84,123.08,21,0,0,15.5,0.92,0.745,44
CHURN-SCORE-00005,2026-08,north,partner,family,standard,33,13,73174.44,707,58.57,125.86,25,0,0,7.69,0,1.037,44
CHURN-SCORE-00006,2026-09,west,paid_search,small_business,standard,46,19,116975.8,638,102.98,156.23,44,1,1,7.17,12.54,1.227,12
CHURN-SCORE-00007,2026-07,south,paid_search,family,standard,58,19,67842.92,721,58.51,138.01,35,0,1,15.75,2.41,0.936,44
CHURN-SCORE-00008,2026-08,south,partner,family,standard,40,33,68098.01,641,59.54,101.65,14,0,1,10.3,0,1.028,44
CHURN-SCORE-00009,2026-09,east,paid_search,student,standard,38,2,33027.79,711,41.02,90.26,28,0,0,14.32,0,0.962,24
CHURN-SCORE-00010,2026-07,west,retail,young_professional,standard,32,67,61763.53,608,43.05,152.9,55,2,0,11.43,9.41,0.96,51
CHURN-SCORE-00011,2026-08,north,partner,family,standard,33,14,77291.52,679,57.41,123.74,24,0,0,8.03,0,1.053,45
CHURN-SCORE-00012,2026-09,north,partner,family,premium,59,19,63688.52,655,91.74,196.1,39,0,0,7.41,3.69,1.04,46
CHURN-SCORE-00013,2026-07,central,organic,young_professional,standard,37,86,49350.23,718,46.99,73.35,31,2,1,15.28,0,0.835,39
CHURN-SCORE-00014,2026-08,east,partner,family,premium,37,24,78333.92,590,95.25,208.19,55,2,0,3.43,5.37,1.106,60
CHURN-SCORE-00015,2026-09,east,paid_search,student,basic,39,7,38865.14,636,24.91,72.36,6,1,0,16.54,4.61,0.889,-6
CHURN-SCORE-00016,2026-07,east,paid_search,young_professional,premium,35,5,72665.63,668,80.24,183.53,30,0,1,14.66,2.47,0.863,42
CHURN-SCORE-00017,2026-08,central,retail,student,standard,23,28,37468.86,764,43.21,117.89,41,1,0,5.78,0,0.905,68
CHURN-SCORE-00018,2026-09,north,paid_search,student,basic,29,2,54373.96,628,34.93,61.66,28,0,0,7.72,0.23,0.967,24
CHURN-SCORE-00019,2026-07,west,partner,small_business,standard,50,29,112765.83,744,101.09,190.06,46,0,0,4.93,25.8,1.072,4
CHURN-SCORE-00020,2026-08,north,retail,student,basic,18,26,55539.4,668,27.39,86.57,36,1,0,15.64,9.19,0.974,44
CHURN-SCORE-00021,2026-09,north,referral,senior,premium,65,37,45514.86,759,58.92,121.62,35,1,0,3.4,0,0.738,38
CHURN-SCORE-00022,2026-07,east,organic,small_business,premium,43,14,99671.15,746,137.99,227.78,63,0,1,8.16,11.13,1.186,33
CHURN-SCORE-00023,2026-08,south,paid_search,senior,basic,60,57,26423.03,689,31.1,29.95,9,0,1,5.77,0,1.046,77
CHURN-SCORE-00024,2026-09,west,organic,family,standard,32,11,94696.03,666,69.8,134.04,47,1,0,6.89,3.97,1.044,54
CHURN-SCORE-00025,2026-07,west,partner,family,basic,49,50,73249.45,726,42.58,83.67,27,0,1,6.12,0,1.045,63
CHURN-SCORE-00026,2026-08,west,organic,young_professional,premium,40,22,76013.39,635,96.73,216.76,50,0,2,5.02,7.98,0.963,88
CHURN-SCORE-00027,2026-09,north,partner,young_professional,premium,33,13,53477.68,643,91.92,161.88,50,1,1,2.36,0.72,1.135,58
CHURN-SCORE-00028,2026-07,east,organic,young_professional,premium,36,21,43942.53,640,74.68,167.51,38,0,0,14.06,0,0.954,59
CHURN-SCORE-00029,2026-08,east,referral,young_professional,standard,35,25,51343.09,608,45.74,101.13,35,0,2,13.13,1.35,0.909,23
CHURN-SCORE-00030,2026-09,south,referral,small_business,standard,38,12,74698.35,601,92.07,167.66,43,1,0,11.42,11.76,1.027,30
CHURN-SCORE-00031,2026-07,east,retail,young_professional,standard,30,10,60091.44,728,50.35,92.28,33,0,1,13.33,0,0.93,36
CHURN-SCORE-00032,2026-08,west,retail,family,basic,33,40,113476.76,771,37.76,82.07,30,0,1,21.67,4.07,1.044,41
CHURN-SCORE-00033,2026-09,west,partner,senior,premium,72,20,86142.78,753,60.49,193.44,60,0,0,0,1.06,0.777,44
CHURN-SCORE-00034,2026-07,west,partner,senior,standard,74,33,62049.94,658,56.41,100.93,20,0,1,2.63,0,1.053,13
CHURN-SCORE-00035,2026-08,north,organic,family,basic,49,46,53880.78,681,47.31,75.5,16,0,0,0,3.37,1.132,41
CHURN-SCORE-00036,2026-09,central,organic,family,basic,37,35,71242.3,655,47.51,50.09,20,2,0,8.4,0,0.838,18
CHURN-SCORE-00037,2026-07,west,paid_search,student,basic,25,10,53759.34,544,36.33,71.41,35,2,1,10.17,1.55,0.954,23
CHURN-SCORE-00038,2026-08,west,paid_search,family,standard,53,7,79080.94,690,70.47,112.0,43,1,0,8.25,0,0.976,6
CHURN-SCORE-00039,2026-09,west,paid_search,family,standard,47,32,93013.36,713,62.79,176.78,53,0,0,4.17,10.7,0.899,35
CHURN-SCORE-00040,2026-07,west,organic,young_professional,basic,25,31,76784.69,655,42.51,74.17,23,0,0,3.3,4.18,0.877,59
CHURN-SCORE-00041,2026-08,east,referral,family,premium,31,15,60038.84,668,108.97,222.29,59,0,0,6.1,4.17,1.087,45
CHURN-SCORE-00042,2026-09,central,partner,senior,premium,67,30,48542.09,570,69.46,97.35,30,0,2,7.15,2.99,0.93,78
CHURN-SCORE-00043,2026-07,central,organic,senior,standard,65,115,44549.59,686,48.89,96.38,34,0,0,5.83,0,0.995,55
CHURN-SCORE-00044,2026-08,central,retail,young_professional,premium,33,52,67575.43,618,65.62,211.06,62,0,1,21.82,4.52,0.925,55
CHURN-SCORE-00045,2026-09,south,organic,small_business,standard,45,13,106518.9,635,82.85,106.43,42,1,1,9.29,0.41,1.034,78
CHURN-SCORE-00046,2026-07,south,organic,young_professional,standard,27,7,47270.65,650,49.65,102.65,33,2,0,16.55,0.8,0.941,41
CHURN-SCORE-00047,2026-08,central,paid_search,senior,standard,60,26,43865.29,729,50.11,50.81,9,0,0,16.5,0,0.99,53
CHURN-SCORE-00048,2026-09,north,referral,student,standard,24,11,40202.68,640,47.44,102.85,31,0,0,1.78,0.98,1.034,70
CHURN-SCORE-00049,2026-07,central,retail,young_professional,premium,35,41,75643.13,644,66.71,199.16,41,0,0,17.89,2.53,0.776,30
CHURN-SCORE-00050,2026-08,central,organic,young_professional,basic,36,24,64189.82,731,43.87,62.88,15,1,1,16.89,4.78,0.989,29
CHURN-SCORE-00051,2026-09,west,organic,family,basic,47,33,85168.51,609,48.82,78.22,18,1,0,15.06,3.38,0.847,82
CHURN-SCORE-00052,2026-07,east,paid_search,small_business,standard,53,22,114596.54,599,71.19,153.64,29,2,0,28.58,13.71,0.961,20
CHURN-SCORE-00053,2026-08,south,organic,senior,premium,49,89,35974.69,680,57.74,215.74,40,1,0,7.16,2.71,0.9,30
CHURN-SCORE-00054,2026-09,north,partner,senior,premium,61,12,49828.08,689,61.17,113.35,34,0,0,22.31,1.87,0.864,45
CHURN-SCORE-00055,2026-07,south,organic,senior,standard,69,29,35689.92,597,33.66,52.15,27,2,1,8.63,0.49,0.845,32
CHURN-SCORE-00056,2026-08,north,paid_search,student,standard,28,23,32790.28,733,45.04,146.84,38,0,0,12.76,5.14,0.878,48
CHURN-SCORE-00057,2026-09,south,paid_search,senior,basic,71,31,37433.66,614,22.36,41.85,8,1,0,21.84,0,0.874,31
