row_id,species
IRIS-SCORE-00001,versicolor
IRIS-SCORE-00002,versicolor
IRIS-SCORE-00003,virginica
IRIS-SCORE-00004,versicolor
IRIS-SCORE-00005,versicolor
IRIS-SCORE-00006,versicolor
IRIS-SCORE-00007,versicolor
IRIS-SCORE-00008,virginica
IRIS-SCORE-00009,virginica
IRIS-SCORE-00010,versicolor
IRIS-SCORE-00011,virginica
IRIS-SCORE-00012,virginica
IRIS-SCORE-00013,virginica
IRIS-SCORE-00014,versicolor
IRIS-SCORE-00015,virginica
IRIS-SCORE-00016,virginica
IRIS-SCORE-00017,versicolor
IRIS-SCORE-00018,virginica
IRIS-SCORE-00019,versicolor
IRIS-SCORE-00020,versicolor
IRIS-SCORE-00021,versicolor
IRIS-SCORE-00022,virginica
IRIS-SCORE-00023,versicolor
IRIS-SCORE-00024,virginica
IRIS-SCORE-00025,virginica
IRIS-SCORE-00026,virginica
IRIS-SCORE-00027,versicolor
IRIS-SCORE-00028,virginica
IRIS-SCORE-00029,virginica
IRIS-SCORE-00030,virginica
IRIS-SCORE-00031,versicolor
IRIS-SCORE-00032,versicolor
IRIS-SCORE-00033,versicolor
IRIS-SCORE-00034,versicolor
IRIS-SCORE-00035,versicolor
IRIS-SCORE-00036,virginica
IRIS-SCORE-00037,virginica
IRIS-SCORE-00038,virginica
IRIS-SCORE-00039,virginica
IRIS-SCORE-00040,virginica
IRIS-SCORE-00041,virginica
IRIS-SCORE-00042,virginica
IRIS-SCORE-00043,virginica
IRIS-SCORE-00044,versicolor
IRIS-SCORE-00045,virginica
IRIS-SCORE-00046,virginica
IRIS-SCORE-00047,versicolor
IRIS-SCORE-00048,versicolor
IRIS-SCORE-00049,versicolor
IRIS-SCORE-00050,virginica
IRIS-SCORE-00051,versicolor
IRIS-SCORE-00052,virginica
IRIS-SCORE-00053,virginica
IRIS-SCORE-00054,versicolor
IRIS-SCORE-00055,versicolor
IRIS-SCORE-00056,versicolor
IRIS-SCORE-00057,virginica
IRIS-SCORE-00058,versicolor
IRIS-SCORE-00059,versicolor
IRIS-SCORE-00060,versicolor
IRIS-SCORE-00061,versicolor
IRIS-SCORE-00062,virginica
IRIS-SCORE-00063,versicolor
IRIS-SCORE-00064,versicolor
IRIS-SCORE-00065,virginica
IRIS-SCORE-00066,versicolor
IRIS-SCORE-00067,virginica
IRIS-SCORE-00068,virginica
IRIS-SCORE-00069,versicolor
IRIS-SCORE-00070,versicolor
IRIS-SCORE-00071,versicolor
IRIS-SCORE-00072,virginica
IRIS-SCORE-00073,versicolor
IRIS-SCORE-00074,virginica
IRIS-SCORE-00075,virginica
IRIS-SCORE-00076,virginica
IRIS-SCORE-00077,versicolor
IRIS-SCORE-00078,virginica
IRIS-SCORE-00079,versicolor
IRIS-SCORE-00080,versicolor
IRIS-SCORE-00081,virginica
IRIS-SCORE-00082,versicolor
IRIS-SCORE-00083,virginica
IRIS-SCORE-00084,versicolor
IRIS-SCORE-00085,virginica
IRIS-SCORE-00086,versicolor
IRIS-SCORE-00087,virginica
IRIS-SCORE-00088,versicolor
IRIS-SCORE-00089,virginica
IRIS-SCORE-00090,versicolor
IRIS-SCORE-00091,versicolor
IRIS-SCORE-00092,virginica
IRIS-SCORE-00093,versicolor
IRIS-SCORE-00094,virginica
IRIS-SCORE-00095,versicolor
IRIS-SCORE-00096,versicolor
IRIS-SCORE-00097,virginica
IRIS-SCORE-00098,virginica
IRIS-SCORE-00099,versicolor
IRIS-SCORE-00100,versicolor
IRIS-SCORE-00101,versicolor
IRIS-SCORE-00102,virginica
IRIS-SCORE-00103,virginica
IRIS-SCORE-00104,versicolor
IRIS-SCORE-00105,versicolor
IRIS-SCORE-00106,virginica
IRIS-SCORE-00107,versicolor
IRIS-SCORE-00108,virginica
IRIS-SCORE-00109,virginica
IRIS-SCORE-00110,versicolor
IRIS-SCORE-00111,virginica
IRIS-SCORE-00112,virginica
IRIS-SCORE-00113,virginica
IRIS-SCORE-00114,versicolor
IRIS-SCORE-00115,versicolor
IRIS-SCORE-00116,versicolor
IRIS-SCORE-00117,virginica
IRIS-SCORE-00118,virginica
IRIS-SCORE-00119,versicolor
IRIS-SCORE-00120,versicolor
IRIS-SCORE-00121,virginica
IRIS-SCORE-00122,versicolor
IRIS-SCORE-00123,versicolor
IRIS-SCORE-00124,versicolor
IRIS-SCORE-00125,versicolor
IRIS-SCORE-00126,versicolor
IRIS-SCORE-00127,virginica
IRIS-SCORE-00128,versicolor
IRIS-SCORE-00129,virginica
IRIS-SCORE-00130,virginica
IRIS-SCORE-00131,versicolor
IRIS-SCORE-00132,versicolor
IRIS-SCORE-00133,versicolor
IRIS-SCORE-00134,versicolor
IRIS-SCORE-00135,virginica
IRIS-SCORE-00136,versicolor
IRIS-SCORE-00137,virginica
IRIS-SCORE-00138,versicolor
IRIS-SCORE-00139,virginica
IRIS-SCORE-00140,versicolor
IRIS-SCORE-00141,virginica
IRIS-SCORE-00142,versicolor
IRIS-SCORE-00143,virginica
IRIS-SCORE-00144,virginica
IRIS-SCORE-00145,versicolor
IRIS-SCORE-00146,versicolor
IRIS-SCORE-00147,versicolor
IRIS-SCORE-00148,versicolor
IRIS-SCORE-00149,virginica
IRIS-SCORE-00150,versicolor
IRIS-SCORE-00151,versicolor
IRIS-SCORE-00152,virginica
IRIS-SCORE-00153,virginica
IRIS-SCORE-00154,virginica
IRIS-SCORE-00155,versicolor
IRIS-SCORE-00156,versicolor
IRIS-SCORE-00157,virginica
IRIS-SCORE-00158,versicolor
IRIS-SCORE-00159,virginica
IRIS-SCORE-00160,virginica
IRIS-SCORE-00161,virginica
IRIS-SCORE-00162,virginica
IRIS-SCORE-00163,versicolor
IRIS-SCORE-00164,virginica
IRIS-SCORE-00165,versicolor
IRIS-SCORE-00166,virginica
IRIS-SCORE-00167,virginica
IRIS-SCORE-00168,versicolor
IRIS-SCORE-00169,versicolor
IRIS-SCORE-00170,virginica
IRIS-SCORE-00171,virginica
IRIS-SCORE-00172,virginica
IRIS-SCORE-00173,versicolor
IRIS-SCORE-00174,versicolor
IRIS-SCORE-00175,versicolor
IRIS-SCORE-00176,versicolor
IRIS-SCORE-00177,virginica
IRIS-SCORE-00178,virginica
IRIS-SCORE-00179,virginica
IRIS-SCORE-00180,virginica
IRIS-SCORE-00181,versicolor
IRIS-SCORE-00182,virginica
IRIS-SCORE-00183,virginica
IRIS-SCORE-00184,virginica
IRIS-SCORE-00185,virginica
IRIS-SCORE-00186,virginica
IRIS-SCORE-00187,virginica
IRIS-SCORE-00188,versicolor
IRIS-SCORE-00189,versicolor
IRIS-SCORE-00190,virginica
IRIS-SCORE-00191,versicolor
IRIS-SCORE-00192,virginica
IRIS-SCORE-00193,virginica
IRIS-SCORE-00194,virginica
IRIS-SCORE-00195,virginica
IRIS-SCORE-00196,versicolor
IRIS-SCORE-00197,versicolor
IRIS-SCORE-00198,virginica
IRIS-SCORE-00199,virginica
IRIS-SCORE-00200,versicolor
IRIS-SCORE-00201,versicolor
IRIS-SCORE-00202,virginica
IRIS-SCORE-00203,versicolor
IRIS-SCORE-00204,virginica
IRIS-SCORE-00205,versicolor
IRIS-SCORE-00206,versicolor
IRIS-SCORE-00207,virginica
IRIS-SCORE-00208,virginica
IRIS-SCORE-00209,versicolor
IRIS-SCORE-00210,virginica
IRIS-SCORE-00211,versicolor
IRIS-SCORE-00212,virginica
IRIS-SCORE-00213,virginica
IRIS-SCORE-00214,versicolor
IRIS-SCORE-00215,versicolor
IRIS-SCORE-00216,versicolor
IRIS-SCORE-00217,versicolor
IRIS-SCORE-00218,versicolor
IRIS-SCORE-00219,virginica
IRIS-SCORE-00220,virginica
IRIS-SCORE-00221,versicolor
IRIS-SCORE-00222,virginica
IRIS-SCORE-00223,versicolor
IRIS-SCORE-00224,virginica
IRIS-SCORE-00225,virginica
IRIS-SCORE-00226,virginica
IRIS-SCORE-00227,versicolor
IRIS-SCORE-00228,versicolor
IRIS-SCORE-00229,virginica
IRIS-SCORE-00230,virginica
IRIS-SCORE-00231,versicolor
IRIS-SCORE-00232,virginica
IRIS-SCORE-00233,virginica
IRIS-SCORE-00234,virginica
IRIS-SCORE-00235,virginica
IRIS-SCORE-00236,virginica
IRIS-SCORE-00237,virginica
IRIS-SCORE-00238,versicolor
IRIS-SCORE-00239,virginica
IRIS-SCORE-00240,virginica
IRIS-SCORE-00241,versicolor
IRIS-SCORE-00242,versicolor
