row_id,sepal_length,sepal_width,petal_length,petal_width
IRIS-SCORE-00001,5.709,2.512,3.716,0.998
IRIS-SCORE-00002,6.629,2.972,4.471,1.308
IRIS-SCORE-00003,7.017,3.055,5.806,2.303
IRIS-SCORE-00004,6.483,2.718,4.569,1.206
IRIS-SCORE-00005,5.923,2.771,4.939,1.436
IRIS-SCORE-00006,5.13,2.765,4.026,1.498
IRIS-SCORE-00007,5.631,2.779,3.812,1.011
IRIS-SCORE-00008,7.473,2.576,5.834,2.029
IRIS-SCORE-00009,6.64,2.749,5.352,1.659
IRIS-SCORE-00010,6.265,3.027,4.196,1.324
IRIS-SCORE-00011,6.445,3.465,5.498,2.444
IRIS-SCORE-00012,6.272,2.686,5.264,1.578
IRIS-SCORE-00013,6.58,2.937,5.146,1.667
IRIS-SCORE-00014,6.218,2.748,4.993,1.781
IRIS-SCORE-00015,6.257,3.004,5.034,1.946
IRIS-SCORE-00016,8.081,3.369,6.558,1.913
IRIS-SCORE-00017,6.161,2.839,4.045,1.195
IRIS-SCORE-00018,6.522,2.699,5.629,2.179
IRIS-SCORE-00019,5.841,2.064,4.118,1.104
IRIS-SCORE-00020,5.176,2.716,3.667,1.208
IRIS-SCORE-00021,6.855,3.111,5.137,1.5
IRIS-SCORE-00022,7.079,2.963,5.772,2.019
IRIS-SCORE-00023,5.261,2.934,4.267,1.433
IRIS-SCORE-00024,7.441,3.392,5.855,2.085
IRIS-SCORE-00025,5.591,3.095,4.798,1.985
IRIS-SCORE-00026,6.67,2.879,5.677,2.306
IRIS-SCORE-00027,5.33,2.359,4.009,1.262
IRIS-SCORE-00028,7.323,3.123,5.847,2.348
IRIS-SCORE-00029,7.973,3.008,6.131,1.73
IRIS-SCORE-00030,6.671,2.434,5.355,1.566
IRIS-SCORE-00031,5.876,2.984,4.201,1.146
IRIS-SCORE-00032,5.235,3.009,3.184,1.179
IRIS-SCORE-00033,6.447,2.912,5.0,1.601
IRIS-SCORE-00034,5.825,2.986,4.693,1.43
IRIS-SCORE-00035,6.498,3.118,4.575,1.646
IRIS-SCORE-00036,5.762,3.35,4.62,2.28
IRIS-SCORE-00037,6.817,2.658,5.793,2.399
IRIS-SCORE-00038,6.884,2.825,5.378,2.076
IRIS-SCORE-00039,7.254,3.031,5.825,1.821
IRIS-SCORE-00040,6.838,3.313,5.3,1.732
IRIS-SCORE-00041,7.119,3.158,6.043,2.179
IRIS-SCORE-00042,6.992,2.356,5.468,1.638
IRIS-SCORE-00043,7.016,2.835,6.183,2.087
IRIS-SCORE-00044,5.517,2.424,3.945,1.077
IRIS-SCORE-00045,6.034,2.894,4.803,2.204
IRIS-SCORE-00046,5.822,2.727,5.047,1.347
IRIS-SCORE-00047,5.838,3.096,4.276,1.253
IRIS-SCORE-00048,5.555,2.626,4.35,1.29
IRIS-SCORE-00049,5.951,2.716,4.519,1.357
IRIS-SCORE-00050,6.373,3.064,5.169,2.039
IRIS-SCORE-00051,5.429,2.814,4.45,1.47
IRIS-SCORE-00052,7.245,3.48,6.122,2.321
IRIS-SCORE-00053,7.028,2.983,5.909,2.301
IRIS-SCORE-00054,5.988,2.901,4.613,1.356
IRIS-SCORE-00055,5.781,2.287,3.669,0.917
IRIS-SCORE-00056,5.655,2.397,3.984,1.266
IRIS-SCORE-00057,6.302,2.359,5.467,1.491
IRIS-SCORE-00058,5.337,2.685,3.926,1.157
IRIS-SCORE-00059,5.781,2.649,3.647,1.177
IRIS-SCORE-00060,5.444,2.372,3.822,1.016
IRIS-SCORE-00061,5.673,2.65,4.152,1.279
IRIS-SCORE-00062,6.703,2.88,5.652,2.144
IRIS-SCORE-00063,5.246,1.859,4.054,1.183
IRIS-SCORE-00064,6.755,3.161,4.586,1.444
IRIS-SCORE-00065,6.52,2.807,5.166,2.076
IRIS-SCORE-00066,5.249,2.631,3.651,1.193
IRIS-SCORE-00067,6.367,2.703,5.143,1.684
IRIS-SCORE-00068,5.195,2.488,4.649,1.812
IRIS-SCORE-00069,4.812,2.559,3.956,1.141
IRIS-SCORE-00070,5.85,2.309,4.061,1.167
IRIS-SCORE-00071,6.082,2.769,4.317,1.418
IRIS-SCORE-00072,6.558,3.221,5.522,2.275
IRIS-SCORE-00073,5.419,2.738,4.071,1.366
IRIS-SCORE-00074,6.236,2.636,5.25,1.94
IRIS-SCORE-00075,5.883,3.021,4.638,1.989
IRIS-SCORE-00076,6.959,3.042,6.027,2.078
IRIS-SCORE-00077,6.22,2.818,4.417,1.389
IRIS-SCORE-00078,8.235,3.198,6.957,2.4
IRIS-SCORE-00079,5.627,2.717,4.134,1.461
IRIS-SCORE-00080,5.42,2.734,3.675,1.304
IRIS-SCORE-00081,6.98,2.747,5.875,1.934
IRIS-SCORE-00082,6.209,2.547,4.603,1.464
IRIS-SCORE-00083,5.468,2.826,4.734,1.626
IRIS-SCORE-00084,5.618,2.486,4.152,1.177
IRIS-SCORE-00085,6.482,2.858,5.293,1.528
IRIS-SCORE-00086,6.124,2.683,4.807,1.565
IRIS-SCORE-00087,7.324,3.191,5.803,2.127
IRIS-SCORE-00088,6.007,3.135,3.801,1.381
IRIS-SCORE-00089,6.404,3.178,4.695,1.644
IRIS-SCORE-00090,5.873,3.058,4.33,1.42
IRIS-SCORE-00091,6.689,2.814,4.737,1.456
IRIS-SCORE-00092,7.104,3.024,5.792,1.528
